#,公式应用,类型,商品,建仓时间,建仓价格,平仓时间,平仓价格,数量,最佳平仓价,最佳平仓时间,最差平仓价,最差平仓时间,浮动盈利,浮动亏损,建仓效率,平仓效率,总效率
32,Ama_CL,多头,880529,2017/2/24 14:00,6462,2017/3/28 15:00,7435,1,7617,2017/3/23 11:30,6456,2017/2/27 15:00,113218.41,-2715.82,99.43%,84.07%,83.50%
33,Ama_CL,多头,880506,2017/3/8 15:00,1466,2017/3/29 10:30,1472,1,1516,2017/3/17 14:00,1453,2017/3/15 10:30,4473.96,-1805.98,76.94%,25.30%,2.23%
34,Ama_CL,多头,880569,2017/3/7 10:30,2622,2017/3/29 10:30,2589,1,2637,2017/3/17 11:30,2556,2017/3/13 10:30,639.6,-7428.48,8.82%,34.16%,-57.02%
35,Ama_CL,多头,880380,2017/3/8 14:00,1695,2017/3/29 11:30,1736,1,1788,2017/3/22 15:00,1673,2017/3/9 11:30,8777.66,-2775.82,79.66%,52.56%,32.23%
36,Ama_CL,多头,880557,2017/3/20 10:30,2165,2017/3/29 15:00,2178,1,2223,2017/3/27 10:30,2165,2017/3/20 10:30,5120.88,-692.8,100.00%,11.82%,11.82%
37,Ama_CL,多头,880400,2017/3/20 14:00,1815,2017/3/30 10:30,1822,1,1862,2017/3/23 10:30,1811,2017/3/20 15:00,4141.63,-948.22,91.83%,10.79%,2.62%
38,Ama_CL,多头,880943,2017/3/7 10:30,988,2017/3/30 10:30,992,1,1026,2017/3/16 14:00,980,2017/3/9 15:00,3427.84,-1149.82,80.39%,21.56%,1.95%
39,Ama_CL,多头,880565,2017/2/27 11:30,6422,2017/3/30 10:30,6538,1,6835,2017/3/23 14:00,6363,2017/2/28 11:30,39193.85,-7930.63,86.93%,34.20%,21.13%
40,Ama_CL,多头,880599,2017/3/23 10:30,1635,2017/3/30 11:30,1599,1,1650,2017/3/23 11:30,1599,2017/3/23 10:30,987.38,-4117.44,21.50%,-11.14%,-89.64%
41,Ama_CL,多头,880536,2017/3/17 11:30,860,2017/3/30 11:30,851,1,873,2017/3/27 10:30,850,2017/3/30 10:30,1028.71,-1263.62,50.92%,-9.02%,-58.10%
42,Ama_CL,多头,880476,2017/3/17 15:00,1689,2017/3/30 14:00,1723,1,1801,2017/3/24 15:00,1673,2017/3/17 15:00,10621.63,-2157.89,86.75%,36.56%,23.31%
43,Ama_CL,多头,880440,2017/3/8 11:30,1760,2017/3/30 15:00,1734,1,1788,2017/3/27 10:30,1720,2017/3/30 14:00,2183.4,-4512.88,35.53%,13.07%,-51.40%
44,Ama_CL,多头,880387,2017/3/22 11:30,2252,2017/3/31 10:30,2233,1,2337,2017/3/24 10:30,2212,2017/3/30 14:00,7796.72,-4681.28,66.24%,11.52%,-22.24%
45,Ama_CL,多头,880594,2017/3/17 15:00,1834,2017/3/31 10:30,1984,1,2049,2017/3/30 11:30,1809,2017/3/20 10:30,20923.65,-3083.88,89.31%,72.11%,61.42%
46,Ama_CL,多头,880491,2017/3/7 14:00,1234,2017/3/31 11:30,1249,1,1287,2017/3/27 10:30,1221,2017/3/9 10:30,4922.6,-1661.84,79.48%,38.33%,17.80%
47,Ama_CL,多头,880355,2017/3/17 14:00,1517,2017/3/31 11:30,1521,1,1599,2017/3/27 14:00,1507,2017/3/17 15:00,7735.39,-1448.9,88.89%,10.12%,-0.99%
48,Ama_CL,多头,880904,2017/3/8 11:30,2323,2017/3/31 14:00,2331,1,2403,2017/3/27 10:30,2300,2017/3/10 10:30,7208.89,-3068.63,75.55%,25.03%,0.58%
49,Ama_CL,多头,880591,2017/3/28 11:30,2055,2017/3/31 14:00,2028,1,2101,2017/3/29 14:00,2027,2017/3/31 11:30,3963,-3489.06,58.25%,-7.54%,-49.29%
50,Ama_CL,多头,880574,2017/3/8 10:30,2054,2017/4/5 14:00,2119,1,2153,2017/3/24 15:00,2051,2017/3/15 10:30,9220.88,-991.75,96.49%,64.54%,61.03%
51,Ama_CL,多头,880492,2017/3/7 11:30,1624,2017/4/6 10:30,1657,1,1673,2017/3/27 10:30,1599,2017/3/9 11:30,4387.46,-3028.66,63.55%,76.65%,40.19%
