Bar#,时间,多头保证金,空头保证金,可用资金,动态权益,交易成本,静态权益,累计收益率
1346,2018/7/6 14:00,901599.02,0,1522361822,1523263421,0,1523231322,2023.14
1345,2018/7/6 11:00,890121.02,0,1522361822,1523251943,0,1523231322,2015.24
1344,2018/7/6 10:00,886150.99,0,1522361822,1523247973,154.24,1523231322,2012.71
1343,2018/7/5 15:00,972699,0,1522265731,1523238430,0,1523232031,2006.05
1342,2018/7/5 14:00,986622.98,0,1522265731,1523252354,0,1523232031,2015.86
1341,2018/7/5 11:00,988098.99,0,1522265731,1523253830,0,1523232031,2016.88
1340,2018/7/5 10:00,993752.01,0,1522265731,1523259483,138.56,1523232031,2020.57
1339,2018/7/4 15:00,1081842.99,0,1522179407,1523261250,0,1523231407,2023.19
1338,2018/7/4 14:00,1084784.99,0,1522179407,1523264192,0,1523231407,2025.41
1337,2018/7/4 11:00,1086082.01,0,1522179407,1523265489,299.36,1523231407,2026.33
1336,2018/7/4 10:00,1281248.01,0,1521992908,1523274156,138.72,1523233908,2032.31
1335,2018/7/3 15:00,1386748,0,1521906485,1523293233,302.4,1523233585,2045.82
1334,2018/7/3 14:00,1182261,0,1522095485,1523277746,0,1523233585,2034.48
1333,2018/7/3 11:00,1163074,0,1522095485,1523258559,0,1523233585,2019.99
1332,2018/7/3 10:00,1169299.98,0,1522095485,1523264785,0,1523233585,2024.88
1331,2018/7/2 15:00,1159196.99,0,1522095485,1523254682,448,1523233585,2016.89
1330,2018/7/2 14:00,1230925.01,0,1522029842,1523260767,0,1523236342,2021.7
1329,2018/7/2 11:00,1236844.01,0,1522029842,1523266686,0,1523236342,2026.23
1328,2018/7/2 10:00,1237305.99,0,1522029842,1523267148,280.48,1523236342,2026.88
1327,2018/6/29 15:00,1064871,0,1522205142,1523270013,137.76,1523236342,2029.15
1326,2018/6/29 14:00,974970.02,0,1522291242,1523266212,0,1523236342,2026.26
1325,2018/6/29 11:00,967190.98,0,1522291242,1523258433,0,1523236342,2020.42
1324,2018/6/29 10:00,954756,0,1522291242,1523245998,0,1523236342,2011.66
1323,2018/6/28 15:00,937548,0,1522291242,1523228790,0,1523236342,1999.44
1322,2018/6/28 14:00,942883,0,1522291242,1523234125,0,1523236342,2003.05
1321,2018/6/28 11:00,950870,0,1522291242,1523242112,0,1523236342,2008.97
1320,2018/6/28 10:00,950089.99,0,1522291242,1523241332,519.2,1523236342,2008.29
1319,2018/6/27 15:00,619961,0,1522615742,1523235703,412.32,1523236342,2004.05
1318,2018/6/27 14:00,361024,0,1522873442,1523234466,288.64,1523236342,2003.18
1317,2018/6/27 11:00,182807,0,1523053842,1523236649,137.12,1523236342,2004.92
1316,2018/6/27 10:00,98136,0,1523139542,1523237678,0,1523236342,2006.06
1315,2018/6/26 15:00,97014,0,1523139542,1523236556,0,1523236342,2004.9
1314,2018/6/26 14:00,96608,0,1523139542,1523236150,154.88,1523236342,2004.48
